Name, Grade
Carmen Mcdonald, 67
Zachary Ross, 100
Daniel Figueroa III, 74
Caitlyn Arnold, 67
Victoria Rosario, 94
David Peterson, 84
Joel French, 84
Jennifer Harris, 81
Maxwell King, 51
Patrick Santos, 82
James Greene, 91
George Murphy, 97
Valerie Davis MD, 80
Emily Bell, 86
Taylor Bailey, 92
Shannon Phillips, 63
Mark Price, 91
Edgar Boyle, 85
Victoria Warren, 82
Carlos Pittman, 61
Sherry King, 72
Christopher Marshall, 60
Matthew Foster, 80
Ricky Reed, 98
Rebecca Hunt, 77
Kevin Lee, 83
Joshua Miller, 95
Brooke Lewis, 61
Tony Larson, 74
Bradley Lopez, 89
