Name,Professor_ID,Difficulty,Clarity,Grade
Monica Pacheco, 19, 2, 5, 5
John Mills, 32, 3, 3, 5
Nicole Brown, 40, 3, 3, 2
Justin Williamson, 5, 5, 1, 4
Laura Cruz, 33, 4, 1, 1
Carolyn Alvarado, 27, 5, 3, 4
Mia Gonzalez, 14, 5, 3, 5
William Spence, 5, 4, 2, 1
Molly Heath, 23, 1, 5, 3
Rebecca Clark, 28, 4, 4, 1
Vincent Meyers, 47, 1, 1, 1
Sophia Thomas, 32, 4, 5, 1
Rhonda Wise, 46, 3, 3, 4
Claudia Hill, 36, 3, 3, 1
Katie Nguyen, 45, 4, 5, 3
Joseph Ford, 36, 5, 2, 5
Megan Clark, 27, 1, 3, 5
Amanda Lynch, 12, 5, 5, 2
Michelle Newman, 18, 5, 2, 1
Craig Foster, 49, 2, 1, 1
Nicole Holt, 43, 3, 4, 4
Justin Calderon, 40, 2, 4, 5
Jennifer Sanchez, 3, 4, 1, 1
Elizabeth Garza, 30, 1, 5, 2
Donna Lyons, 29, 5, 5, 3
Diana Bryant, 2, 5, 4, 2
Deborah Davis, 50, 3, 4, 5
Samantha Flores, 16, 5, 1, 3
Cheryl Morris, 6, 3, 3, 1
Anne Dean, 31, 5, 2, 5
Barbara Gonzalez, 47, 2, 4, 5
Daniel Mitchell, 11, 5, 1, 3
Tina Cooke, 44, 4, 5, 2
Joshua Fowler, 12, 4, 3, 2
Melissa Holmes, 38, 2, 4, 5
Eric Reynolds, 43, 5, 1, 4
Douglas Richardson, 6, 1, 1, 3
Mark Burton, 37, 3, 3, 3
Raymond Johnson, 6, 1, 5, 3
Rodney Hughes, 22, 1, 4, 2
Jennifer Whitaker, 5, 1, 2, 5
Amy Newton, 37, 2, 3, 2
Lisa Valdez, 21, 2, 1, 1
Raymond Sullivan, 40, 4, 5, 1
Whitney Bailey, 13, 1, 3, 2
Paul Wright, 4, 5, 1, 3
Raymond Freeman, 46, 1, 5, 1
Douglas Wilson, 26, 5, 2, 3
Raymond Gardner, 42, 3, 5, 2
Jeffrey Carlson, 34, 4, 1, 1
Jesse Jones, 12, 2, 4, 2
Robert Freeman, 45, 2, 5, 3
Dave Cook, 14, 1, 5, 2
Russell Simpson, 12, 4, 4, 1
Patrick Flynn, 32, 2, 1, 5
Jason Lopez, 34, 3, 2, 1
Tyler Whitehead, 2, 1, 2, 5
Donald Benton, 1, 2, 3, 1
Katherine Gates, 50, 4, 1, 4
Lisa Browning, 40, 3, 3, 3
Elizabeth Lee, 40, 4, 1, 3
Ricky Taylor, 10, 2, 3, 4
Michael Thomas, 14, 5, 1, 1
Tammy Hall, 21, 5, 3, 2
Lauren Henderson, 6, 1, 3, 3
Mary Kennedy, 38, 3, 4, 3
Ronald Stark, 9, 1, 2, 3
Michael Cunningham, 12, 5, 3, 3
Dr. Raymond Lam, 44, 1, 1, 5
Katherine Stanley, 31, 4, 5, 3
Sherry Jackson, 25, 1, 4, 5
Adam Jenkins, 16, 2, 5, 2
Timothy Miller, 49, 2, 4, 2
Victoria Montoya, 43, 5, 5, 3
Marissa Townsend, 9, 3, 3, 3
Corey Maddox, 20, 2, 2, 2
Crystal Ortiz, 10, 4, 4, 3
Karen Johnson DDS, 5, 5, 4, 4
Tyler Clark, 40, 1, 4, 5
Whitney Williams, 42, 1, 2, 1
Joyce Phillips, 8, 2, 2, 2
Amber Payne, 9, 3, 5, 1
Vanessa Hayes, 38, 3, 2, 3
Julie Romero, 36, 5, 1, 3
Kevin Clark, 46, 1, 4, 5
Phillip Simpson, 36, 3, 3, 4
Dawn Neal, 5, 3, 5, 4
Robert Jackson, 49, 5, 5, 3
Mercedes Mosley, 35, 2, 2, 2
Victor Daniels, 40, 2, 1, 2
Laurie Williams, 12, 1, 2, 5
Jennifer Marquez, 1, 1, 1, 5
Rachel Collins, 30, 5, 2, 5
Susan Martinez, 5, 4, 2, 1
Ronald Johnston, 44, 2, 1, 4
Jose Jenkins, 46, 4, 5, 1
Rachel Leon, 39, 4, 1, 5
Richard Molina, 11, 2, 3, 5
Wendy Barnes, 7, 5, 1, 2
Danielle Chavez, 14, 1, 2, 1
Sabrina Holt, 43, 1, 3, 2
Joseph Hudson, 20, 2, 4, 5
Kathleen White, 29, 3, 1, 2
Greg Jones, 17, 2, 3, 3
Casey Suarez, 19, 4, 2, 5
Troy Ponce, 34, 3, 5, 2
Richard Dunlap, 15, 2, 1, 3
Marie Holt MD, 15, 4, 1, 2
Keith Reed, 43, 5, 2, 5
Robert Garcia, 1, 2, 4, 1
James Stevenson, 23, 1, 3, 5
David Leonard, 5, 3, 4, 3
Cynthia Carrillo, 15, 1, 3, 3
Lauren Alvarado, 50, 3, 3, 4
Katherine Vaughn, 28, 1, 2, 4
Tracie Martin, 15, 5, 2, 3
Dale Morales, 4, 1, 3, 1
Anthony Wang, 42, 5, 4, 3
Patricia Thompson, 49, 2, 2, 1
Michael Chapman, 22, 3, 2, 1
Sean Taylor, 32, 3, 3, 2
Jacob Mann, 7, 4, 2, 1
Jerry Anderson Jr., 50, 5, 3, 3
Linda Hill, 16, 5, 1, 1
Whitney Lopez, 4, 3, 3, 3
Stephanie Davis, 37, 1, 3, 5
Jack Stokes, 48, 1, 1, 4
Craig Williams, 34, 3, 3, 5
Daisy Sanders, 3, 5, 2, 2
Joshua Reed, 30, 4, 4, 4
Amy Santiago, 36, 5, 5, 4
Richard Simon, 14, 1, 5, 3
Hannah Morrow, 38, 1, 5, 4
Brian Fox, 38, 4, 2, 4
Tina Brown, 10, 2, 2, 5
John Lloyd, 17, 2, 4, 3
