Name, easy_level, clarity level
Matthew Stuart, 4, 3
Dawn Fisher, 2, 2
Lauren Odom, 5, 3
Elizabeth Johnson, 5, 5
Jeremy Lester, 1, 1
Christine Carter, 3, 5
Eric Hunter, 3, 4
Carolyn Gonzales, 2, 2
Mary Petty, 4, 1
Laura Williams, 2, 5
Mrs. Melinda Medina, 4, 3
Lisa Martin, 4, 5
Louis Jackson, 5, 4
Amber Stone, 3, 2
Dana Fitzpatrick, 1, 1
Joyce King, 4, 5
Jo Cruz, 2, 1
Ryan Long, 1, 4
Julia Bowers, 5, 2
Michael Hayes, 2, 3
Patrick Vaughn, 2, 4
Henry Valenzuela, 3, 2
Aaron Monroe, 4, 2
Brian Marshall, 4, 5
Gregory Carroll, 5, 2
Stephen Burton, 5, 2
Diane Tran, 2, 1
Heather Mckay, 5, 4
Lauren Hansen, 2, 5
Stephen Tran, 4, 4
Mia May, 2, 3
Christopher Erickson, 5, 4
Heather House, 5, 4
James Wells, 4, 1
John Solis, 5, 2
Regina Poole, 1, 5
Emily Cruz, 2, 1
Mr. Blake Valdez Jr., 1, 4
Tiffany Bruce, 5, 5
Brittany Johnson, 4, 3
Jason Fowler, 5, 3
Vanessa Jenkins, 3, 1
Donald Bolton, 1, 5
Beth Butler, 5, 1
Michael Curtis, 5, 2
Kimberly Cook, 3, 2
Andrew Harris, 4, 4
Michele Francis, 2, 4
John Williams, 3, 2
Larry Holden, 2, 3
Thomas Brown, 5, 1
Nicholas Ruiz MD, 3, 3
Kristi Smith, 4, 3
Heather Sullivan, 3, 5
Gregory Miller, 3, 3
Shannon Murphy, 2, 2
Lori Oconnell, 3, 3
Sarah Hamilton, 1, 2
Aaron Brooks, 5, 1
Kevin Wood, 4, 5
Lisa Smith, 5, 4
Jason Pierce, 3, 5
Eric Colon Jr., 4, 1
Kelly Davis, 3, 2
Jamie Andrews, 4, 3
Robert Goodwin, 2, 1
Megan Proctor, 1, 3
Nicole Smith, 4, 1
Kathryn Reyes, 5, 3
Cassandra Kaufman, 2, 2
Mary Ford, 4, 4
Cheryl Barrera, 4, 2
Eric Garcia, 1, 5
Anne Hernandez, 5, 5
Jesse Flores, 5, 3
Amy Rivera, 3, 4
Courtney Esparza, 5, 2
Nathan Baker, 1, 1
Amber Kelley, 2, 3
Brianna Cameron, 1, 1
Nicole Middleton, 3, 3
Jacob Cross, 5, 5
Ashlee Bradford, 1, 5
Joshua Farley, 5, 5
Martin Cardenas, 5, 1
Lisa Aguilar, 2, 3
Janet Bonilla, 5, 5
Margaret Jackson, 3, 2
Megan Weber, 1, 2
Jeffrey Gonzalez, 5, 4
Elizabeth Brown, 1, 4
Jimmy Mullins, 3, 3
Valerie Pham, 1, 4
James Bailey, 5, 4
Teresa Hernandez, 4, 4
Shelby Campbell, 2, 5
Brenda Olson, 3, 4
Kirsten Kramer, 1, 3
Jacob Nicholson, 5, 4
Robert Trujillo, 4, 3
